Module	Section	Sample Name	Source
featureCounts	all_sections	SRX5505134	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5505134_all.txt.summary
featureCounts	all_sections	SRX502154	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX502154_all.txt.summary
featureCounts	all_sections	SRX9960954	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9960954_all.txt.summary
featureCounts	all_sections	CM_11	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/CM_11_all.txt.summary
featureCounts	all_sections	CM_6	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/CM_6_all.txt.summary
featureCounts	all_sections	SRX2722016	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX2722016_all.txt.summary
featureCounts	all_sections	SRX8387575	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8387575_all.txt.summary
featureCounts	all_sections	Muc_2	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_2_all.txt.summary
featureCounts	all_sections	SRX9960951	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9960951_all.txt.summary
featureCounts	all_sections	SRX2629500	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX2629500_all.txt.summary
featureCounts	all_sections	SRX8164297	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164297_all.txt.summary
featureCounts	all_sections	Muc_9	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_9_all.txt.summary
featureCounts	all_sections	SRX1357232	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX1357232_all.txt.summary
featureCounts	all_sections	SG_3	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SG_3_all.txt.summary
featureCounts	all_sections	Vir_14	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Vir_14_all.txt.summary
featureCounts	all_sections	Cody_4	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Cody_4_all.txt.summary
featureCounts	all_sections	SRX8164279	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164279_all.txt.summary
featureCounts	all_sections	SRX2722007	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX2722007_all.txt.summary
featureCounts	all_sections	Muc_20	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_20_all.txt.summary
featureCounts	all_sections	CM_3	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/CM_3_all.txt.summary
featureCounts	all_sections	SG_2	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SG_2_all.txt.summary
featureCounts	all_sections	SRX8420208	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8420208_all.txt.summary
featureCounts	all_sections	ERX4294042	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/ERX4294042_all.txt.summary
featureCounts	all_sections	SRX7125364	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX7125364_all.txt.summary
featureCounts	all_sections	Vir_18	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Vir_18_all.txt.summary
featureCounts	all_sections	SRX6878017	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX6878017_all.txt.summary
featureCounts	all_sections	Vir_3	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Vir_3_all.txt.summary
featureCounts	all_sections	Mia_3	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Mia_3_all.txt.summary
featureCounts	all_sections	SRX5014569	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX5014569_all.txt.summary
featureCounts	all_sections	CM_14	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/CM_14_all.txt.summary
featureCounts	all_sections	SRX8164271	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164271_all.txt.summary
featureCounts	all_sections	Metab_3	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Metab_3_all.txt.summary
featureCounts	all_sections	Muc_17	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Muc_17_all.txt.summary
featureCounts	all_sections	SRX3489450	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX3489450_all.txt.summary
featureCounts	all_sections	SRX8164289	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164289_all.txt.summary
featureCounts	all_sections	SRX9699056	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9699056_all.txt.summary
featureCounts	all_sections	SRX6878027	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX6878027_all.txt.summary
featureCounts	all_sections	CM_9	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/CM_9_all.txt.summary
featureCounts	all_sections	SRX6878002	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX6878002_all.txt.summary
featureCounts	all_sections	SRX4065834	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX4065834_all.txt.summary
featureCounts	all_sections	Metab_11	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Metab_11_all.txt.summary
featureCounts	all_sections	SRX1357244	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX1357244_all.txt.summary
featureCounts	all_sections	SRX8164302	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164302_all.txt.summary
featureCounts	all_sections	SRX9633799	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9633799_all.txt.summary
featureCounts	all_sections	Metab_15	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/Metab_15_all.txt.summary
featureCounts	all_sections	ERX4294043	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/ERX4294043_all.txt.summary
featureCounts	all_sections	SRX8164264	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164264_all.txt.summary
featureCounts	all_sections	SRX9699054	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX9699054_all.txt.summary
featureCounts	all_sections	SRX8164290	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8164290_all.txt.summary
featureCounts	all_sections	SRX8049163	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8049163_all.txt.summary
featureCounts	all_sections	SRX8049167	/home/saugat/Dropbox (UCSD SBRG)/Desktop/modulome-nextflow/aws_results/featureCounts/SRX8049167_all.txt.summary
