Sample	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_FragmentLength	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity
SRX6878025	2087840.0	364587.0	409053.0	0.0	2075648.0	171801.0	6870.0
SRX6878026	901971.0	693816.0	232901.0	0.0	4066623.0	86273.0	1906.0
SRX6878027	992167.0	700945.0	205700.0	0.0	1881368.0	112531.0	1981.0
SRX6878028	130184.0	251270.0	2018503.0	0.0	470275.0	14956.0	150.0
SRX7125364	15547171.0	794821.0	8019079.0	0.0	2962972.0	751541.0	16670.0
SRX7125365	16133334.0	932748.0	9774829.0	0.0	3226700.0	774800.0	17342.0
SRX7125366	3845799.0	649299.0	19614253.0	0.0	966213.0	208064.0	5941.0
SRX7125367	1322198.0	659750.0	17695386.0	0.0	348386.0	68343.0	2090.0
SRX7125368	18598668.0	1028372.0	8008694.0	0.0	3644940.0	906982.0	19356.0
SRX7125369	253242.0	763717.0	17409305.0	0.0	104836.0	20008.0	613.0
SRX7125370	131169.0	42342.0	20908171.0	0.0	647959.0	6601.0	183.0
SRX7125371	362167.0	692344.0	20254424.0	0.0	79981.0	20463.0	618.0
SRX7125372	5117644.0	507420.0	23560135.0	0.0	1480630.0	259453.0	7281.0
SRX7125373	1543878.0	28134.0	24551555.0	0.0	335957.0	70625.0	1899.0
SRX7125374	1311806.0	107185.0	26949662.0	0.0	238332.0	65743.0	2002.0
SRX7125375	641166.0	632180.0	19406341.0	0.0	133300.0	37571.0	1089.0
SRX8049163	4266994.0	587140.0	780065.0	0.0	5789754.0	390655.0	5532.0
SRX8049164	4083570.0	372141.0	632180.0	0.0	5533451.0	351634.0	5684.0
SRX8049165	4203660.0	232087.0	690202.0	0.0	6136829.0	372105.0	4513.0
SRX8049166	4093693.0	734582.0	617813.0	0.0	5152307.0	520218.0	4401.0
SRX8049167	3805691.0	227774.0	751651.0	0.0	5993427.0	650943.0	4311.0
SRX8049168	4116546.0	103233.0	523874.0	0.0	4743396.0	498376.0	3810.0
SRX8164260	10036762.0	14895.0	150759.0	139586.0	669999.0	491312.0	495111.0
SRX8164261	6950896.0	497.0	122842.0	101037.0	459600.0	355944.0	325147.0
SRX8164262	6973435.0	23440.0	123737.0	41002.0	602795.0	332633.0	289556.0
SRX8164263	6893237.0	4192.0	107006.0	83531.0	603058.0	324014.0	292710.0
SRX8164264	8258355.0	1604723.0	133481.0	131304.0	644029.0	462622.0	394601.0
SRX8164265	6060020.0	2498983.0	140692.0	97913.0	486251.0	287792.0	281754.0
SRX8164266	6135303.0	3998.0	156469.0	67960.0	710948.0	339049.0	280308.0
SRX8164267	9229902.0	7206.0	126045.0	105755.0	770116.0	439115.0	438833.0
SRX8164268	8342351.0	77664.0	120507.0	86690.0	752632.0	471828.0	341199.0
SRX8164269	9505096.0	3785.0	178628.0	125062.0	948149.0	427482.0	422015.0
SRX8164270	6466325.0	22133.0	139252.0	50483.0	800875.0	332074.0	273417.0
SRX8164271	6959251.0	13075.0	172123.0	81338.0	1180124.0	330336.0	293106.0
SRX8164272	5875270.0	17220.0	107872.0	86427.0	399649.0	289846.0	242317.0
SRX8164273	6448013.0	921.0	113718.0	76195.0	399301.0	307435.0	264748.0
SRX8164274	10082997.0	15607.0	194840.0	134430.0	844285.0	438522.0	407469.0
SRX8164275	7661553.0	33386.0	134725.0	92281.0	676519.0	364171.0	297350.0
SRX8164276	6648958.0	526.0	131670.0	64975.0	534305.0	269635.0	258982.0
SRX8164277	6114686.0	2410804.0	142398.0	75231.0	393858.0	257114.0	263415.0
SRX8164278	7004358.0	55127.0	128791.0	63289.0	656853.0	297796.0	272573.0
SRX8164279	7652823.0	32697.0	126764.0	73473.0	756941.0	344294.0	315678.0
SRX8164280	7506004.0	3864.0	141508.0	44773.0	742134.0	296421.0	262201.0
SRX8164281	7331874.0	4142.0	124753.0	64546.0	668071.0	318855.0	283174.0
SRX8164282	6749008.0	12882.0	122645.0	36791.0	540178.0	282131.0	274668.0
SRX8164283	7512910.0	152707.0	143844.0	74417.0	634242.0	328593.0	310194.0
SRX8164284	7725384.0	1084.0	127196.0	119393.0	622142.0	320736.0	309231.0
SRX8164285	8662984.0	18585.0	145280.0	98726.0	949587.0	353177.0	308460.0
SRX8164286	7226346.0	34146.0	131544.0	39675.0	678983.0	320430.0	317061.0
SRX8164287	5072050.0	14088.0	76533.0	61795.0	437835.0	222583.0	230676.0
SRX8164288	7328148.0	2709.0	124001.0	53828.0	995258.0	312027.0	288139.0
SRX8164289	7772729.0	3547.0	144459.0	55994.0	1389713.0	323539.0	305785.0
SRX8164290	8255065.0	34484.0	199966.0	69548.0	771115.0	347821.0	348696.0
SRX8164291	7885670.0	124246.0	130316.0	68162.0	684280.0	327478.0	337485.0
SRX8164292	5848119.0	5405.0	98423.0	37564.0	924309.0	246540.0	230208.0
SRX8164293	8694547.0	3846.0	143783.0	78787.0	952437.0	374111.0	382357.0
SRX8164294	8458765.0	2528.0	153249.0	48721.0	1007542.0	363328.0	360451.0
SRX8164295	7509816.0	420565.0	113041.0	59520.0	656983.0	288327.0	297260.0
SRX8164296	7463394.0	504.0	204807.0	67676.0	761289.0	318411.0	246805.0
SRX8164297	6714237.0	152.0	190338.0	58199.0	661373.0	282702.0	221423.0
SRX8164298	7689860.0	1378.0	183245.0	86325.0	846935.0	379757.0	282567.0
SRX8164299	7242584.0	178.0	143152.0	128956.0	785913.0	363687.0	297503.0
SRX8164300	6573029.0	386174.0	125539.0	122342.0	504081.0	292818.0	295163.0
SRX8164301	8501057.0	787.0	147105.0	120408.0	760152.0	330591.0	350098.0
SRX8164302	5743114.0	173.0	85780.0	88303.0	426450.0	257644.0	267316.0
SRX8164303	7377862.0	655.0	124638.0	122969.0	600852.0	327614.0	336222.0
SRX8164304	8525305.0	220271.0	186205.0	107177.0	950718.0	409543.0	324908.0
SRX8164305	6997369.0	1915.0	159681.0	80690.0	834849.0	313053.0	265136.0
SRX8164306	7039970.0	13892.0	127686.0	88696.0	639291.0	328690.0	279291.0
SRX8164307	5272306.0	261.0	94674.0	69342.0	483797.0	260831.0	208389.0
SRX8387559	3745029.0	79.0	1174354.0	199985.0	313063.0	128556.0	61866.0
SRX8387560	4118719.0	91.0	1215656.0	171062.0	342160.0	137864.0	65511.0
SRX8387561	7972350.0	143.0	212819.0	48183.0	384183.0	451801.0	348460.0
SRX8387562	7941644.0	68.0	182496.0	81799.0	367870.0	463073.0	371286.0
SRX8387563	7516291.0	7098.0	178370.0	64074.0	490288.0	388573.0	324921.0
SRX8387564	8069731.0	31632.0	148935.0	67735.0	441798.0	360838.0	339384.0
SRX8387565	7825375.0	49.0	170023.0	81386.0	645346.0	338600.0	282426.0
SRX8387566	8436531.0	38.0	185306.0	61091.0	636563.0	340693.0	274183.0
SRX8387567	9360135.0	337.0	205241.0	87076.0	673605.0	499408.0	422438.0
SRX8387568	8923747.0	399.0	215819.0	84304.0	690379.0	483086.0	400981.0
SRX8387571	3557392.0	361.0	1091478.0	173618.0	301174.0	123873.0	58869.0
SRX8387574	8564253.0	2617.0	194018.0	77371.0	923616.0	274263.0	286903.0
SRX8387575	6637412.0	1933.0	121583.0	81877.0	584055.0	267990.0	322676.0
SRX8387576	7492703.0	401.0	165521.0	84399.0	829157.0	242842.0	254944.0
SRX8387577	6386355.0	1190.0	127894.0	75653.0	536873.0	259348.0	318293.0
SRX8387582	4579782.0	91.0	1409152.0	222251.0	398203.0	160573.0	74488.0
SRX8387589	4101857.0	368.0	1510769.0	202872.0	296298.0	162384.0	77004.0
SRX8387590	3726980.0	1102.0	1073571.0	181875.0	279133.0	147002.0	68409.0
SRX8387591	3810553.0	1217.0	1193727.0	189251.0	490589.0	404002.0	70494.0
SRX8387592	4256308.0	384.0	1302973.0	210784.0	575869.0	448274.0	81076.0
SRX8387593	9398759.0	9331.0	194526.0	66946.0	629315.0	449603.0	376803.0
SRX8387594	6692850.0	421.0	129536.0	38981.0	414083.0	304289.0	267147.0
