Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRX8164282	0.19578955796507067	0.25898248045752326
SRX8164283	0.5984444310726318	0.928850757138846
SRX8164284	0.15348233300083705	0.10556991603186325
SRX8164285	0.5546845868465367	1.5531567034732277
SRX8164286	0.19952710190742426	0.38564570822404876
SRX8164287	0.1652506066492684	0.11449482958224597
SRX8164288	0.318087105713793	1.0947692855204956
SRX8164289	0.5063944073920899	3.167180984428807
SRX8164290	0.6504635874532935	1.0585142960865968
SRX8164291	0.6814969013784474	0.8134332785394548
SRX8164292	0.9233119835985543	1.9499042563440319
SRX8164293	0.7576105366501259	1.1946714672280034
SRX8164294	0.26130915869264226	0.8659509606156436
SRX8164295	0.8350532319684572	0.9173922199233171
SRX8164296	0.0	0.0
SRX8164297	0.12260679314956996	0.116640076846385
SRX8164298	0.7220434660071571	2.213183919395713
SRX8164299	0.699366088248648	2.409324375335655
SRX8164300	0.178488244453104	0.13072429380083203
SRX8164301	0.7373216464558279	0.7826684653911706
SRX8164302	0.1513805945160567	0.12166643858152396
SRX8164303	0.5061404965035815	0.35490571614831123
SRX8164304	0.784436812432378	2.2604637188649486
SRX8164305	0.31797037061178524	0.8758313741167058
