Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned_percentage	Bowtie 1_mqc-generalstats-bowtie_1-reads_aligned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Metab_4	70.6460725949845	3524996	95.75	4777778.0	0.8231500593423542	77.91876265584173	38.0	50.580430193985315	18.181818181818183	4989656.0
Metab_5	78.22396904203056	4208200	96.78	5206326.0	0.837585787362388	76.72492575393149	36.0	50.402109344401644	18.181818181818183	5379681.0
Metab_6	77.85970248733793	4273125	96.52	5297258.0	0.8382598656785142	78.62955457405923	36.0	50.5727737340789	18.181818181818183	5488237.0
Metab_7	61.583768690190055	4486154	96.95	7062587.0	0.8039547132179307	83.59446972785408	40.0	50.590332092045216	18.181818181818183	7284637.0
Metab_8	66.24036566856094	4439736	96.5	6467649.0	0.8172122201141916	79.16702067076469	38.0	50.41370418605817	18.181818181818183	6702463.0
Metab_9	68.50968726671124	4568389	96.54	6437602.0	0.8231649974138336	79.68886299691265	37.0	50.41463097148002	18.181818181818183	6668238.0
Mia_0	82.87081209605067	4510384	98.2	5344711.0	0.7600239115350165	76.97080065842302	36.0	74.48171329176917	20.0	5442669.0
Mia_1	83.61794222397833	4947779	98.33	5818079.0	0.6659059621345721	78.77199470806177	37.0	74.49451574970686	20.0	5917126.0
Mia_2	83.23418041336247	6807821	98.44	8051189.0	1.1118939593366266	81.54698531092484	34.0	39.36278891718996	20.0	8179117.0
Mia_3	82.46828978810761	6965026	98.14	8288956.0	1.1162221315537764	81.24514332737137	34.0	39.35793614314121	20.0	8445702.0
Mia_4	82.91858068203277	7495212	97.9	8849686.0	1.0747139998775999	82.91745520156805	35.0	39.570646679152226	20.0	9039243.0
Mia_5	83.20110140092703	6335788	98.02	7464204.0	1.0655510007417366	82.4210416045832	35.0	39.57403340157995	20.0	7615029.0
Mia_6	83.80234690448155	5802415	98.08	6790660.0	1.7536712144008797	80.84549162404366	35.0	39.38819649941529	20.0	6923929.0
Muc_1	82.36596616444876	3004124			1.5351083365640097	68.77287669673696	37.0	39.57733636608899	27.27272727272727	3647288.0
Muc_10	87.87248938064386	2624543			1.296354680855896	66.72389030971877	37.0	39.57718807953627	27.27272727272727	2986763.0
Muc_11	86.33048030429325	2570623			1.345010579099824	66.87295390333806	37.0	39.57759027744661	27.27272727272727	2977654.0
Muc_12	87.012751554054	2481233			1.2403852581599963	66.18437368345235	37.0	39.57923027773433	27.27272727272727	2851574.0
Muc_13	63.12359378564083	1665944			2.879842161688263	67.10847150608264	39.0	39.55203930920916	36.36363636363637	2639178.0
Muc_14	63.546376544110984	1976319			2.1213305064359327	70.30158366289241	39.0	39.55898087549943	36.36363636363637	3110042.0
Muc_15	57.578881661931206	1469424			3.3717686445814388	66.17274843621139	40.0	39.5505162775042	36.36363636363637	2552019.0
Muc_16	61.36703483225653	1512706			4.424893200531939	62.47370357863996	39.0	39.52757347422773	27.27272727272727	2465014.0
Muc_17	69.00978781590294	2215081			1.6675216113601086	65.48564997797243	38.0	39.556787370704846	36.36363636363637	3209807.0
Muc_18	68.58028029751861	2835427			1.5369792021557969	70.0763574013945	38.0	39.56185590199842	36.36363636363637	4134464.0
Muc_19	64.07173970306971	2014008			1.416787503629864	71.12489870166533	39.0	39.56901046140377	27.27272727272727	3143364.0
Muc_2	81.84607298932237	2348384			1.2917996080070029	67.42423738355936	36.0	39.58120204135618	27.27272727272727	2869269.0
Muc_20	71.97982784046789	2123695			1.5910184565704744	68.65414816447785	38.0	39.56170326562168	36.36363636363637	2950403.0
Muc_21	59.61545963838585	2231074			1.5960962094382893	74.07898616143413	40.0	39.56758341211434	27.27272727272727	3742442.0
Muc_22	71.64964413742983	2066461			1.615751446332652	68.78923819753484	38.0	39.56182806604027	36.36363636363637	2884119.0
Muc_23	67.26977913004124	1920419			1.5811332256573658	69.71724864773597	39.0	39.5620358259522	27.27272727272727	2854802.0
Muc_24	66.3221327895945	2042662			1.803283272551688	70.0070227274903	39.0	39.56173621956486	36.36363636363637	3079910.0
Muc_3	81.96177461636245	2156093			1.3291596383829576	65.55358136844413	37.0	39.578868839447004	27.27272727272727	2630608.0
Muc_4	82.22305506517894	2492277			1.4410978484995358	66.49554385652556	37.0	39.578469257372774	27.27272727272727	3031117.0
Muc_5	86.01351765512976	2483753			1.30328843359353	67.48503411642244	36.0	39.57854275702124	27.27272727272727	2887631.0
Muc_6	81.12325943180855	2373712			1.232550734366611	68.44930153675027	37.0	39.58011808386443	27.27272727272727	2926056.0
Muc_7	78.0838761466295	2021337			1.244133170241088	67.5954544701525	38.0	39.58162441466172	27.27272727272727	2588674.0
Muc_8	86.0860097545998	2557005			1.217744870787916	69.22523981293952	36.0	39.57933885939122	27.27272727272727	2970291.0
Muc_9	81.10622883223311	2127491			1.3639019435196316	65.94332401983364	37.0	39.57766330727249	27.27272727272727	2623092.0
SG_1	77.176302262022	9111594	92.62	10935121.0	0.9287964405795016	71.4389989877213	34.0	50.335412889169234	18.181818181818183	11806207.0
SG_2	80.21140847200333	8582125	93.0	9950165.0	0.9405189938960831	72.62522525908321	34.0	50.346318506994145	18.181818181818183	10699382.0
SG_3	74.84181469640778	6880693	92.04	8462173.0	0.9167711833578673	67.26362718169227	35.0	50.330481110436246	18.181818181818183	9193648.0
SG_4	31.388861283201912	3028957	92.23	8900390.0	1.436393901580613	88.46289697430491	45.0	50.48946261278621	18.181818181818183	9649783.0
