Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SG_2	SG_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10699382.0	0.0	20-51	34.0	27.374774740916784	50.346318506994145	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
SG_3	SG_3_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9193648.0	0.0	20-51	35.0	32.73637281830772	50.330481110436246	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
SG_4	SG_4_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9649783.0	0.0	20-51	45.0	11.537103025695092	50.48946261278621	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
SG_5	SG_5_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12508435.0	0.0	20-51	34.0	26.905687374803154	50.33910317317874	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
SG_6	SG_6_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10751266.0	0.0	20-51	36.0	26.566593233275643	50.34188634157131	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	pass
SG_7	SG_7_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8870681.0	0.0	20-51	36.0	18.75044560736214	50.533630394329364	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
SG_8	SG_8_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	10307184.0	0.0	20-51	36.0	17.91906937187208	50.53132126097681	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	pass
SRX1357231	SRX1357231_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	57990239.0	0.0	20-50	50.0	12.817381976558078	46.10285568921349	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRX1357232	SRX1357232_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45312185.0	0.0	20-50	52.0	11.845994280931103	45.17363784156513	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRX1357235	SRX1357235_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	41463842.0	0.0	20-50	52.0	7.596925320743894	45.850628916635365	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRX1357236	SRX1357236_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	50791680.0	0.0	20-50	51.0	10.774337767562685	43.290383700637584	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRX1357239	SRX1357239_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	25187673.0	0.0	20-50	50.0	24.632105374329257	45.28900152864459	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
SRX1357240	SRX1357240_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38705748.0	0.0	20-50	50.0	25.24363591972964	46.44923255326315	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
SRX1357243	SRX1357243_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	40747136.0	0.0	20-50	48.0	25.743725130474328	47.001559152525466	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRX1357244	SRX1357244_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46419609.0	0.0	20-50	48.0	24.242213169253752	43.72778896091089	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRX1549383	SRX1549383_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4441170.0	0.0	18-324	37.0	66.81631628374915	120.86487704816524	pass	warn		pass	fail	fail	pass	warn	warn	fail	pass
SRX1549384	SRX1549384_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3404552.0	0.0	20-358	37.0	71.78514572035098	125.00310407947947	pass	warn		pass	fail	fail	pass	warn	pass	warn	pass
SRX1983453	SRX1983453_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4836266.0	0.0	20-51	49.0	14.547989604506984	42.2485717286849	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRX2629499	SRX2629499_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46520700.0	0.0	20-100	49.0	16.13337926312351	94.39725511438994	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass
SRX2629500	SRX2629500_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46441132.0	0.0	20-100	47.0	36.911426541325234	95.52310606899074	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722002	SRX2722002_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3212703.0	0.0	20-101	34.0	22.558810094317295	99.20316755081313	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722003	SRX2722003_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3544373.0	0.0	20-101	35.0	20.091857161619664	99.26927160318624	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722004	SRX2722004_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3699893.0	0.0	20-101	35.0	17.34366233105325	99.64190640107701	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX2722005	SRX2722005_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3900262.0	0.0	20-101	34.0	19.858940878280958	99.70862470264818	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX2722006	SRX2722006_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4254486.0	0.0	20-101	34.0	22.544118325261387	99.00368881223255	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722007	SRX2722007_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3632216.0	0.0	20-101	34.0	21.41367569098388	99.68770469597624	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
SRX2722008	SRX2722008_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3299113.0	0.0	20-101	34.0	22.278954677074537	99.7230182779432	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass
SRX2722009	SRX2722009_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3699440.0	0.0	20-101	34.0	21.583599496312488	99.7047163895076	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass
